Indexcd,Trddt,Retindex
300,2021/10/8,0.013061
300,2021/10/11,0.001268
300,2021/10/12,-0.010606
300,2021/10/13,0.011522
300,2021/10/14,-0.005364
300,2021/10/15,0.003764
300,2021/10/18,-0.011624
300,2021/10/19,0.009836
300,2021/10/20,-0.002547
300,2021/10/21,0.003631
300,2021/10/22,0.006434
300,2021/10/25,0.003992
300,2021/10/26,-0.003299
300,2021/10/27,-0.013083
300,2021/10/28,-0.006947
300,2021/10/29,0.009176
300,2021/11/1,-0.003684
300,2021/11/2,-0.010395
300,2021/11/3,-0.003871
300,2021/11/4,0.009879
300,2021/11/5,-0.005422
300,2021/11/8,0.001205
300,2021/11/9,-0.000296
300,2021/11/10,-0.005272
300,2021/11/11,0.016067
300,2021/11/12,-0.002098
300,2021/11/15,-0.001227
300,2021/11/16,0.000193
300,2021/11/17,0.000498
300,2021/11/18,-0.009852
300,2021/11/19,0.01084
300,2021/11/22,0.004569
300,2021/11/23,0.000193
300,2021/11/24,0.000674
300,2021/11/25,-0.004112
300,2021/11/26,-0.007417
300,2021/11/29,-0.001791
300,2021/11/30,-0.003998
300,2021/12/1,0.002447
300,2021/12/2,0.002542
300,2021/12/3,0.009237
300,2021/12/6,-0.001713
300,2021/12/7,0.006026
300,2021/12/8,0.014999
300,2021/12/9,0.016565
300,2021/12/10,-0.004642
300,2021/12/13,0.005674
300,2021/12/14,-0.006709
300,2021/12/15,-0.008673
300,2021/12/16,0.00576
300,2021/12/17,-0.015884
300,2021/12/20,-0.015004
300,2021/12/21,0.006775
300,2021/12/22,0.000197
300,2021/12/23,0.006976
300,2021/12/24,-0.005536
300,2021/12/27,-0.000411
300,2021/12/28,0.007448
300,2021/12/29,-0.014626
300,2021/12/30,0.007788
300,2021/12/31,0.003833
300,2022/1/4,-0.004576
300,2022/1/5,-0.010095
300,2022/1/6,-0.010248
300,2022/1/7,0.000859
300,2022/1/10,0.004495
300,2022/1/11,-0.009552
300,2022/1/12,0.009964
300,2022/1/13,-0.01644
300,2022/1/14,-0.008222
300,2022/1/17,0.008578
300,2022/1/18,0.009664
300,2022/1/19,-0.006849
300,2022/1/20,0.009023
300,2022/1/21,-0.009162
300,2022/1/24,0.001553
300,2022/1/25,-0.022622
300,2022/1/26,0.007237
300,2022/1/27,-0.019615
300,2022/1/28,-0.012144
300,2022/2/7,0.015408
300,2022/2/8,-0.005463
300,2022/2/9,0.009393
300,2022/2/10,-0.002622
300,2022/2/11,-0.008291
300,2022/2/14,-0.010803
300,2022/2/15,0.010637
300,2022/2/16,0.003888
300,2022/2/17,0.00242
300,2022/2/18,0.004768
300,2022/2/21,-0.003638
300,2022/2/22,-0.012982
300,2022/2/23,0.010689
300,2022/2/24,-0.020274
300,2022/2/25,0.009738
